TF_Gene
ZNF471
CREB3L1
PAX4
SIM2
PAX3
SPDEF
TFAP2C
DLX4
ZBTB47
PIAS3
EGR2
FOXD1
TCF23
ZNF35
CREBL2
ZNF263
MAFF
HEYL
POU2F3
NFIB
ZNF177
TSC22D3
NR1H3
E2F3
ZNF579
ESR2
WT1
NFIA
RFX2
ZBTB20
ZNF568
IRF6
ZNF408
NR2F1
EOMES
KHSRP
FEZF2
FOXC1
ZNF764
XPA
HOXC11
ZNF300
CEBPA
SOX4
MSC
NR1D1
SPI1
EBF1
ZNF677
TCF4
ZNF628
ZNF559
SIX4
MEIS1
NR4A1
ZNFX1
ZNF653
TFEC
KLF9
DMRT2
POU6F1
GLI1
ZNF10
ZNF540
SALL4
NR2C1
BACH2
ZNF784
KLF4
ELF5
RARB
DBX2
MLXIPL
XBP1
NPAS3
ZNF16
ZNF552
KLF15
TFDP3
BCL11A
MEF2D
KLF5
ZHX1
TWIST1
NFYA
E2F5
EGR1
MYBL1
HOXC13
HMBOX1
HBP1
HOXA5
AHCTF1
SOX3
GRHL3
ZBED3
IRX4
PURG
ETV1
ZNF454
HEY2
SOX10
ZFP2
HEY1
ZNF668
SOX8
ZNF800
SIX2
ZNF22
FOXA1
BARX1
NFIL3
FOXO1
THAP8
ZNF502
TCF3
ZNF707
SAMD11
ONECUT2
ZNF710
GATA6
ZNF367
HLF
IRX5
EPAS1
HOXC12
ZNF623
TCF7L1
MYT1
ZNF250
TBX15
ARNT2
ZBTB37
ZNF174
EGR3
TEAD4
HMGA1
SOX11
ZNF233
ZFHX4
PRDM16
FOXP2
ZNF74
MITF
KLF10
ID4
TBX18
RORC
JUNB
ZNF787
ZFP37
PKNOX2
PITX1
MYC
IRX1
SIX1
GTF2IRD1
HOXB9
PEG3
NFKB2
TEAD1
IRF7
NKX3-2
ZIC2
BATF
SP1
POU3F3
STAT1
SOX7
PHTF1
THRB
ZNF696
HOXB13
ZNF646
PAX9
MYBL2
GATA3
ARID5A
ASCL1
ADNP
DMRT3
TRERF1
HOXC10
ETV7
PLAG1
ZSCAN4
TCF19
TAL2
MEF2C
OVOL2
HOXD10
RUNX2
ZNF577
RFX5
NANOG
SMAD9
IRF1
ZNF672
HOXD3
ZNF587
FOXO4
EBF3
FOXD2
OVOL1
KLF12
DMRTA1
E2F8
ZNF576
ELK1
NR4A3
FOS
FOSB
ZNF711
ZNF219
EMX1
PRDM12
ETS2
TAL1
MXI1
NR0B1
AHRR
ZNF684
TSHZ3
TFAP2A
WDHD1
STAT5A
TCF7L2
TEF
L3MBTL3
ATF3
OTX1
CARHSP1
ARID5B
TP63
FOXN3
KLF2
LHX6
ZFPM2
TSC22D1
ERG
BAZ2B
ZNF501
BCL6
MEIS2
NR2F6
ZBED2
GSC
ZNF687
GABPB2
ZNF781
NKX2-2
GATAD2A
ASCL2
HES6
NFE2L3
ZNF391
DNAJC1
ZIM2
IRX2
TCF7
SREBF1
FLI1
GLI2
SCRT2
PBX1
OSR1
PLAGL2
ZNF519
PRDM5
SOX12
NFATC4
ZNF561
ZNF366
ZNF284
CEBPE
TRPS1
LHX2
ZNF189
ZNF695
HOXA2
PPARG
SOHLH1
HOXA9
MYB
ZNF414
FOXK2
DMBX1
MXD3
CREB3L4
SETDB2
HIF3A
ZNF671
NR1D2
ELF3
MAFA
ZNF768
MNX1
ZNF395
ZBTB41
E4F1
ZNF608
NFE2L2
GRHL2
E2F7
FOXM1
ZNF239
INSM1
E2F1
CREB5
TOX
JUND
ZNF469
TOX3
SFPQ
BNC1
PLAGL1
JDP2
ZNF3
THRA
ZNF503
ZNF281
AHR
HOXD8
SETDB1
SMARCC1
ZNF415
ATOH8
JAZF1
RUNX3
ZNF573
FOXR1
PITX2
CREB3L3
SOX2
DLX5
ZNF467
HMGB3
NKX6-1
GATAD2B
ZFP36L1
NEUROG3
ZFP14
LTF
MEOX2
SATB1
NR3C1
SOX17
GATA5
ZNF462
ZIK1
ZNF606
ZNF667
ZNF229
ZBTB4
THYN1
RBAK
HAND2
FOXN4
ZBTB16
MEOX1
PROX1
ZNF334
NR2C2
RBPJ
CPEB1
LEF1
HES2
ZNF521
TUB
CEBPD
NFAT5
ZNF660
MAEL
RHOXF1
SNAI2
GMEB2
FOXH1
HOXA7
SETBP1
FOXJ1
E2F2
BCLAF1
ID1
EMX2
ZNF485
IRF5
ZNF25
STAT6
USF1
ATF6
ZNF595
JUN
ZNF404
NEUROG2
KLF8
ZNF8
MESP1
TCF15
ZNF423
ZNF215
HMG20B
ZEB2
HOXA10
REST
RAG1
SOX5
ZNF165
ZNF214
HOXA3
REL
NR4A2
VSX1
HOXA4
MAF
PATZ1
IRX6
MAZ
KLF6
ELF4
LHX1
KLF11
VDR
ZBTB32
NPAS1
LMX1B
TFAP2B
ZNF669
ZKSCAN2
TFDP1
DMTF1
MYF6
ZNF133
ZNF175
ETV5
NR3C2
IRF9
PPARA
PARP12
